title,work experience,salary,region
TechLead / Senior Python Developer,5.0,,Москва
Разработчик Solidity/Разработчик Rust/Разработчик Go/Разработчик python(удаленно),5.0,,Москва
Разработчик Python,2.0,260000.0,Москва
Программист Python/Data Scientist (junior / middle),0.0,110000.0,Новосибирск
Python Developer (Remote),5.0,375000.0,Москва
Backend Python Developer,5.0,390000.0,Москва
Разработчик C# / Python,5.0,550000.0,Москва
Junior/Middle Python Developer (Backend) - разработчик Питон,2.0,110000.0,Новосибирск
Python разработчик,5.0,,Новосибирск
Junior+ Python разработчик,2.0,140000.0,Красноярск
Разработчик Python,5.0,,Новосибирск
Backend Develover/ Программист-разработчик Python,2.0,200000.0,Екатеринбург
Low-code developer (Python),2.0,,Москва
"Программист Python, удаленно",2.0,,Москва
Junior Python Developer,2.0,120000.0,Иваново (Ивановская область)
Python разработчик,2.0,,Москва
Python Backend Developer (Junior/Remote),2.0,,Москва
Python Developer,5.0,225000.0,Москва
Python developer (Middle),5.0,480000.0,Санкт-Петербург
Middle Python разработчик (удаленно),5.0,160000.0,Москва
Python разработчик (личный кабинет пользователя),5.0,,Москва
"Python Django разработчик, удаленно",5.0,250000.0,Самара
Fullstack программист Python+Django,2.0,150000.0,Москва
Backend-разработчик Python middle+ / senior,5.0,450000.0,Москва
Разработчик на Python,2.0,,Москва
Junior разработчик нейросетевых алгоритмов / Reinforcement Learning,2.0,110000.0,Москва
Python разработчик,2.0,,Москва
Разработчик Python (Senior/Principal),5.0,375000.0,Екатеринбург
Python Разработчик / Fastapi (удаленно),5.0,,Москва
Python-разработчик систем сбора,2.0,175000.0,Москва
Python-разработчик в R&D отдел,2.0,175000.0,Москва
Python программист-разработчик,5.0,,Москва
Python BackEnd Developer,5.0,,Москва
Python Developer,5.0,,Москва
Python-разработчик в Яндекс Диск,5.0,,Москва
Python Back-end Разработчик / Python Back-end Developer,2.0,,Санкт-Петербург
Python разработчик,5.0,,Москва
Разработчик Python,5.0,,Тула
Python-разработчик в команду клиентских сервисов,5.0,,Санкт-Петербург
Python-разработчик,2.0,,Чебоксары
Python Developer (ML Engineer),2.0,,Санкт-Петербург
Middle Python backend developer,5.0,180000.0,Москва
Программист-разработчик Python,5.0,,Москва
"Программист Python, Django (удаленно)",5.0,,Москва
Младший разработчик,2.0,,Санкт-Петербург
Программист Python,2.0,,Екатеринбург
Разработчик Python,2.0,,Москва
Fullstack Python-разработчик,5.0,250000.0,Москва
Программист Python,5.0,,Москва
Python разработчик (Middle / Senior),5.0,,Москва
Middle Python Developer,2.0,,Ростов-на-Дону
"Python-разработчик (middle), удаленно",2.0,,Москва
Python developer на игровой проект Sidus Heroes,2.0,3600.0,Москва
Backend разработчик python,5.0,,Санкт-Петербург
Python backend developer (middle),2.0,,Москва
Middle/Senior Python Developer,2.0,,Москва
Senior Python разработчик (Django),5.0,,Краснодар
Middle Python Developer,2.0,255000.0,Москва
